City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1246,Dubti,ET,83.98,broken clouds,11.7361,41.0853,degu Shiferaw
1248,Saint-Louis,SN,82.04,broken clouds,16.3333,-15.0,
1250,Bulolo,PG,76.71,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
1255,Mamallapuram,IN,82.45,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
1259,Bac Lieu,VN,80.91,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
1261,Honiara,SB,83.39,light rain,-9.4333,159.95,Heritage Park Hotel
1262,Wajid,SO,78.94,scattered clouds,3.8093,43.2471,xamdihotelresturant114
1271,La Libertad,EC,82.06,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
1277,Valentin Gomez Farias,MX,78.1,overcast clouds,28.2167,-106.5833,
1278,Almeirim,BR,75.6,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
1279,Vaitape,PF,82.02,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
1287,Srivardhan,IN,76.46,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
1291,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
1293,Kyaikkami,MM,80.28,few clouds,16.08,97.5675,St. joseph catholic church
1294,Conceicao Do Araguaia,BR,75.58,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
1297,Pansemal,IN,83.23,few clouds,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
1299,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
1302,Xaltianguis,MX,81.34,broken clouds,17.0667,-99.8333,
1312,Riohacha,CO,80.71,broken clouds,11.5444,-72.9072,Hotel Taroa
1318,Puro,PH,80.31,overcast clouds,12.4841,123.3827,
1321,Maturin,VE,79.3,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
1326,Tual,ID,79.66,moderate rain,-5.6667,132.75,Grand Vilia Hotel
1332,Kontagora,NG,84.07,clear sky,10.3999,5.4695,Queens Guest Inn
1333,Vista Hermosa,MX,77.56,few clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
1337,Wajir,KE,81.34,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
